stmt (10)
Date,Description,Amount,Type
09/13/2023,CVS/PHARMACY # 09/12 MOBILE PURCHASE PROVIDENCE RI,-12.07,Home
09/14/2023,AROMA JOES - PROVIDENCE 09/12 MOBILE PURCHASE PROVIDENCE RI,-2.92,Coffee
09/14/2023,HENG THAI AND ROTISSERI 09/12 PURCHASE PROVIDENCE RI,-47.02,Food
09/14/2023,POKEWORKS 09/13 MOBILE PURCHASE PROVIDENCE RI,-17.68,Food
09/15/2023,"BROWN UNIVERSITY DES:DIRECT DEP ID:XXXXX9308367YOF INDN:DING,MICHELLE L CO ID:XXXXX11101 PPD",508.52,TA Income
09/15/2023,AROMA JOES - PROVIDENCE 09/13 MOBILE PURCHASE PROVIDENCE RI,-2.92,Coffee
09/15/2023,AMZN MKTP US*TX11W0L22 09/13 PURCHASE SEATTLE WA,-25.82,Home
09/15/2023,AMZN MKTP US*TR7IF6501 09/14 PURCHASE SEATTLE WA,-5.38,Home
09/15/2023,PAYPAL *SPOTIFYUSAI 09/14 PURCHASE 402-935-7733 NY,-11.76,Tech
09/18/2023,STARBUCKS STORE 07219 09/15 MOBILE PURCHASE PROVIDENCE RI,-2.86,Coffee
09/18/2023,UBER EATS 09/15 PURCHASE HELP.UBER.COM CA,-25.73,Food
09/18/2023,UBER TRIP 09/16 PURCHASE HELP.UBER.COM CA,-6.07,Uber
09/18/2023,AMTRAK MOBILE 09/16 PURCHASE XXXXX63000 DC,-28.00,Amtrak
09/18/2023,UBER TRIP 09/16 PURCHASE HELP.UBER.COM CA,-6.37,Uber
09/18/2023,WEEE INC. 09/17 PURCHASE XXXXX34967 CA,-43.00,Groceries
09/19/2023,UBER TRIP 09/17 PURCHASE HELP.UBER.COM CA,-6.24,Uber
09/20/2023,AMAZON.COM*TX2561I02 09/17 PURCHASE SEATTLE WA,-30.78,Hair
09/20/2023,POKEWORKS 09/19 MOBILE PURCHASE PROVIDENCE RI,-16.68,Food
09/20/2023,CVS/PHARMACY # 09/19 MOBILE PURCHASE PROVIDENCE RI,-4.27,Home
09/21/2023,STARBUCKS STORE 07219 09/19 MOBILE PURCHASE PROVIDENCE RI,-2.86,Coffee
09/21/2023,NOSTALGIA LLC 09/20 MOBILE PURCHASE PROVIDENCE RI,-16.05,Rings
09/21/2023,POKEWORKS 09/20 MOBILE PURCHASE PROVIDENCE RI,-16.68,Food
09/22/2023,"BROWN UNIVERSITY DES:DIRECT DEP ID:XXXXX8104617YOF INDN:DING,MICHELLE L CO ID:XXXXX11101 PPD",297.23,TA Income
09/22/2023,TST* COFFEE EXCHANGE RI 09/20 MOBILE PURCHASE PROVIDENCE RI,-9.78,Coffee
09/22/2023,SQ *NEW METRO MART 09/21 MOBILE PURCHASE Providence RI,-2.25,Food
09/22/2023,CVS/PHARMACY #00827 09/21 MOBILE PURCHASE PROVIDENCE RI,-57.45,Home
09/25/2023,AROMA JOES - PROVIDENCE 09/21 MOBILE PURCHASE PROVIDENCE RI,-2.92,Coffee
09/25/2023,STARBUCKS STORE 07219 09/21 MOBILE PURCHASE PROVIDENCE RI,-9.29,Coffee
09/25/2023,AROMA JOES - PROVIDENCE 09/22 MOBILE PURCHASE PROVIDENCE RI,-3.51,Coffee
09/25/2023,WHOLEFDS PRO 10014 09/23 MOBILE PURCHASE PROVIDENCE RI,-92.67,Groceries
09/25/2023,UBER TRIP 09/23 PURCHASE HELP.UBER.COM CA,-6.04,Uber
09/26/2023,Zelle payment from ARIANA CODJOE Conf# T0RLD5FBN,22.50,Food
09/26/2023,PLANT CITY 09/24 MOBILE PURCHASE PROVIDENCE RI,-7.03,Coffee
09/27/2023,POKEWORKS 09/26 MOBILE PURCHASE PROVIDENCE RI,-16.68,Food
09/28/2023,AROMA JOES - PROVIDENCE 09/26 MOBILE PURCHASE PROVIDENCE RI,-2.92,Coffee
09/28/2023,HENG THAI AND ROTISSERI 09/26 PURCHASE PROVIDENCE RI,-45.23,Food
09/29/2023,"BROWN UNIVERSITY DES:DIRECT DEP ID:XXXXX4853180YOF INDN:DING,MICHELLE L CO ID:XXXXX11101 PPD",600.00,TA Income
09/29/2023,AROMA JOES - PROVIDENCE 09/27 MOBILE PURCHASE PROVIDENCE RI,-2.92,Coffee
09/29/2023,STARBUCKS STORE 07219 09/27 MOBILE PURCHASE PROVIDENCE RI,-4.05,Coffee
